EXT1,EXT2,EXT3,EXT4,EXT5,EXT6,EXT7,EXT8,EXT9,EXT10,EST1,EST2,EST3,EST4,EST5,EST6,EST7,EST8,EST9,EST10,AGR1,AGR2,AGR3,AGR4,AGR5,AGR6,AGR7,AGR8,AGR9,AGR10,CSN1,CSN2,CSN3,CSN4,CSN5,CSN6,CSN7,CSN8,CSN9,CSN10,OPN1,OPN2,OPN3,OPN4,OPN5,OPN6,OPN7,OPN8,OPN9,OPN10,EXT1_E,EXT2_E,EXT3_E,EXT4_E,EXT5_E,EXT6_E,EXT7_E,EXT8_E,EXT9_E,EXT10_E,EST1_E,EST2_E,EST3_E,EST4_E,EST5_E,EST6_E,EST7_E,EST8_E,EST9_E,EST10_E,AGR1_E,AGR2_E,AGR3_E,AGR4_E,AGR5_E,AGR6_E,AGR7_E,AGR8_E,AGR9_E,AGR10_E,CSN1_E,CSN2_E,CSN3_E,CSN4_E,CSN5_E,CSN6_E,CSN7_E,CSN8_E,CSN9_E,CSN10_E,OPN1_E,OPN2_E,OPN3_E,OPN4_E,OPN5_E,OPN6_E,OPN7_E,OPN8_E,OPN9_E,OPN10_E,screenw,screenh,introelapse,testelapse,endelapse,country,lat_appx_lots_of_err,long_appx_lots_of_err,\
1,5,3,5,3,1,1,5,2,5,5,2,5,1,2,4,3,3,4,4,1,4,2,5,1,5,2,5,5,4,5,3,5,3,4,3,5,2,2,4,5,1,4,1,4,2,5,4,4,4,2635,3166,2644,2126,2110,3593,2773,1483,2176,2368,8917,2184,11706,2318,2591,4173,2358,3968,2056,855,4146,6473,2457,1453,2583,1617,3061,2939,2361,2828,3319,3443,12266,2736,2776,5145,2026,2305,1994,2359,1248,2835,2990,2575,3173,1831,11008,1900,3462,1854,375,667,6,169,9,US,40.6501,-73.9496,\
1,2,4,4,3,1,1,2,4,4,1,4,2,5,2,2,2,2,4,2,2,4,1,4,2,5,2,3,5,4,4,2,4,2,2,2,5,2,4,4,5,2,4,2,4,2,5,4,4,4,3850,4061,2830,1562,2869,2397,1381,2571,4805,1380,2388,2816,1691,5202,6866,684,1573,1433,1094,680,4445,2248,1540,5152,2192,877,2302,5392,2451,6117,3851,2366,2525,1880,2094,4000,1570,2166,2535,2728,1470,1189,994,3117,3387,2045,1939,1451,1861,2438,1920,1080,4,131,7,NL,52.0742,4.3597,\
3,3,3,3,3,3,3,4,3,5,4,3,4,2,3,3,3,2,4,1,2,3,2,3,3,3,3,3,3,4,2,4,2,2,2,4,3,3,3,3,3,2,4,3,3,2,4,2,3,3,2757019,744,6304,7328,2064,3768,8104,1984,3144,2768,1352,1480,904,2528,1480,3216,3296,3416,2784,2888,5088,3440,6040,4320,7160,1688,9528,2400,1416,3872,3112,4224,4200,3688,3304,2272,1544,1280,1352,2432,3312,2080,3511,3672,1080,2080,3831,1368,3536,1456,1280,1024,3,2915,7,US,35.4676,-97.5164,\
4,2,4,4,4,2,2,2,4,4,4,4,4,2,2,2,2,1,2,1,2,4,1,4,2,4,2,3,4,4,2,4,3,1,3,2,3,2,2,3,2,3,3,3,2,2,2,1,4,2,4729,2585,1724,2038,1685,1774,2662,3873,2263,1709,4013,4885,4223,1084,2180,2669,1592,1258,1181,1873,1591,1368,2511,2867,3874,1272,1887,3389,4099,1687,1492,3264,2714,2694,2333,4030,1586,1436,1920,3076,850,3491,2825,3906,1146,3100,2505,2858,3662,1391,1366,768,2,126,9,US,39.0437,-77.4875,\
3,4,3,4,2,3,2,1,1,1,2,3,4,1,2,3,2,2,2,1,4,1,1,2,1,3,2,2,2,3,2,1,4,1,2,3,4,3,4,3,3,2,3,4,4,2,4,3,3,4,22680,4408,4870,7047,4522,2764,2787,3355,2384,5310,2734,7650,823,2547,43527,8956,3329,16642,2830,2453,5388,4071,1627,2433,7331,2627,2514,3248,8077,3101,2286,11599,5737,18686,952,6385,1583,4179,1947,2260,3144,2791,3976,29994,3612,4072,5762,3011,8402,2707,1600,900,3,317,18,CO,4.5981,-74.0758,\
3,2,2,3,4,2,3,3,4,3,5,1,5,5,4,5,4,5,5,5,3,4,3,3,4,3,4,3,2,5,4,4,4,5,1,5,4,3,1,2,4,3,4,3,4,1,4,4,3,4,3092,2967,3638,2222,3314,1225,2051,3369,2987,5793,3280,2745,2417,4713,2702,4788,1319,2681,2823,1584,5876,2749,2974,1834,4238,3304,3468,6133,3760,1201,3467,2951,3391,2703,3796,3757,5000,2568,3873,8640,2751,3447,3559,2417,2506,2737,4487,2493,3216,2157,1366,768,13,166,11,DE,51.312,12.3077,\
4,2,4,2,4,1,4,2,5,3,4,4,4,3,4,4,4,3,4,2,1,4,1,5,2,4,2,3,4,3,3,4,4,3,2,2,2,2,2,3,3,3,5,2,4,1,4,3,4,5,4236,6071,2423,4926,3634,3401,5070,1715,3278,4187,3177,1815,2755,3502,4040,2392,2810,4034,2423,2256,3677,3154,2894,99290,7395,2470,4062,8381,3095,2399,9419,4065,3093,2355,3540,6518,3678,4261,2894,2270,2094,6735,1624,4277,4970,2315,5319,3770,2778,1931,1920,1080,3,284,10,US,33.6275,-117.8734,\
2,4,4,4,2,1,1,2,3,5,4,3,5,3,2,2,4,4,2,2,1,5,1,5,2,4,1,5,5,4,2,2,2,4,4,5,4,2,4,3,3,1,5,1,4,1,3,4,5,4,7293,2900,4721,2902,3144,5830,4820,4363,7133,1934,2217,2463,4084,8751,5234,2769,4436,10121,2600,4886,8122,2621,2901,2308,6188,1033,3619,2684,2550,2568,6009,5026,6608,4519,3957,6036,3834,17332,2000,5737,5703,4845,1559,2555,4098,1650,818,2558,2248,1778,1280,800,17,218,5,US,43.0318,-76.095,\
1,5,3,3,3,1,1,3,1,1,5,1,5,1,1,1,1,1,3,1,1,3,1,5,1,5,1,5,5,5,3,1,3,1,3,1,5,1,5,3,3,1,3,1,3,1,5,1,3,3,12687,5513,15263,26400,6410,5675,11799,42055,6066,5048,6002,8286,3267,5956,6263,7459,5283,5268,9369,16204,6050,7214,16635,6282,7648,4961,6268,6065,3633,4383,6414,21712,18210,4103,8986,12397,9384,94821,4284,7651,8682,6649,7133,5277,10666,13783,5534,3484,10116,13918,1680,1050,81,580,23,CA,43.4543,-79.6921,\
5,1,5,1,5,1,5,1,5,1,1,5,1,5,1,1,1,1,1,1,5,5,1,5,1,5,1,5,5,5,1,1,5,1,5,1,5,1,5,5,5,1,5,1,5,1,5,5,1,5,5810,3408,2172,2391,3090,1882,3258,3874,4295,4582,2979,2909,2023,3955,3057,1564,2610,3835,2810,3099,3595,2083,1714,3248,3228,3427,5926,3905,2062,1874,4544,7156,2252,2241,3139,4204,2181,2441,2690,3517,2830,4286,3766,3437,4105,4463,3118,2311,5000,2042,1438,808,12,166,16,PH,14.6488,121.0509,\
2,2,4,3,4,1,2,3,4,4,3,3,4,4,3,3,2,1,4,1,2,4,4,4,3,3,2,2,3,3,4,3,4,2,2,4,4,2,3,4,5,3,5,3,5,1,5,5,4,5,4601,4183,1632,1128,1360,1280,1944,1768,1480,1696,1912,2504,808,2592,3040,1712,3392,1696,1712,1464,5818,1640,1936,1392,1072,1704,2928,2008,1456,1632,1176,1920,1608,1184,7472,1656,648,2848,2664,1264,856,2072,6216,1936,2336,1728,10120,1272,1840,1345,1920,1080,9,117,7,US,42.0586,-87.6845,\
1,5,1,5,1,3,1,5,1,5,5,5,3,3,3,4,5,5,5,5,1,3,5,1,1,1,5,5,1,5,3,4,5,5,5,4,5,3,5,1,3,1,5,3,3,1,5,5,5,5,8724,4314,3450,2164,4640,2238,5262,2472,2374,2350,2916,6824,2158,3646,3238,2168,2198,4316,2360,2780,18091,3992,1862,2628,2294,4430,3046,4024,2694,2502,5784,2834,3464,3374,2458,9350,2098,3728,4354,4504,3032,4272,3244,2446,2688,5664,2557,2078,2482,3358,1366,768,5,193,11,PR,18.4303,-65.9357,\
4,5,2,4,3,4,3,4,2,4,3,4,3,3,4,4,1,1,3,3,3,3,4,4,4,4,2,3,4,5,2,4,4,3,2,3,4,3,2,3,2,3,5,4,4,1,3,2,2,5,10600,3216,3520,1368,2232,2312,5128,3400,2696,4232,3360,2560,2576,3784,3256,2416,10232,5776,3752,4968,6544,3400,2360,3016,5400,3288,3888,5512,3104,4208,2976,3384,4360,3384,2840,3856,2784,4080,2320,4616,3160,9472,5288,3992,2288,4960,2328,2424,3360,1848,1280,1024,3,197,12,HR,45.1667,15.5,\
1,4,1,2,1,4,1,4,1,5,1,5,1,5,2,1,2,2,5,1,1,2,5,1,5,2,5,1,2,1,1,5,5,3,1,4,4,4,1,5,5,1,4,4,5,4,5,5,5,3,2762,4126,1661,1274,2455,6085,2926,1990,3032,2028,2994,2454,1961,2840,2452,1477,2704,1313,2733,1893,2837,2618,2222,2232,3323,2222,2984,3456,3466,2115,4135,3816,1603,2588,2734,4393,1622,15189,3883,1690,2346,3188,4106,5697,3149,3872,2472,1806,2627,2192,1280,720,3,154,9,GB,53.8541,-1.5381,\
3,1,3,2,4,2,3,3,3,2,4,2,5,4,3,4,3,4,4,4,1,4,2,4,1,4,2,3,4,4,3,3,4,3,3,1,3,3,2,4,4,1,4,1,3,2,5,4,4,4,9233,2199,3905,3416,3350,2367,3298,8626,4666,2166,6256,1026,2487,3558,3651,6228,2915,3602,3330,1199,3729,3714,2178,2452,9587,2215,6191,3474,5106,2612,3488,5813,3392,5337,3811,3491,1871,1646,6923,4851,2490,2908,1151,2229,5326,7507,2925,8868,1786,2230,1440,900,64,198,6,FR,48.8592,2.3417,\
3,4,5,2,4,4,4,2,5,2,4,3,5,1,1,5,4,5,2,4,2,4,1,5,4,5,2,4,5,3,4,5,4,5,4,5,2,2,5,2,5,1,5,1,5,2,4,5,4,4,17361,11535,4393,6128,3850,6709,8481,9149,4584,4484,4683,4658,3852,5779,4783,3881,3603,7506,5130,2135,6178,8476,4218,4809,11210,6527,6929,5381,5114,4117,5612,4899,15125,5188,4665,5618,3765,6808,3587,7855,3404,3969,6078,4402,3735,6148,7207,3952,4501,3644,360,640,13,298,12,FI,60.1708,24.9375,\
2,4,4,4,1,5,3,5,3,5,2,5,2,4,2,2,3,2,2,2,5,2,2,2,4,2,3,3,2,5,3,3,3,3,2,4,4,2,3,3,4,2,4,2,4,2,5,2,2,3,3925,2430,3116,3230,1974,1674,3806,3119,2849,2460,2644,1720,5886,2556,1807,3240,1967,1623,3257,2301,5485,2376,6310,7100,2573,2573,3964,3274,2937,3224,3995,3407,3340,4067,6276,2596,2416,3240,1743,9092,2993,3117,1514,4349,1786,1897,2810,2921,4736,783,1920,1080,45,163,9,US,40.6576,-111.884,\
